track_name,track_artist,track_popularity,playlist_genre,track_year
Break the Distance,ELYAZ,30,pop,2018
I Could Get Used To This,Becky Hill,64,pop,2019
Therapy,Armin van Buuren,52,pop,2018
Sunshine,David Guetta,54,pop,2012
Giant - Robin Schulz Remix,Calvin Harris,16,pop,2019
Somebody,The Chainsmokers,13,pop,2018
Like I Love You,Lost Frequencies,58,pop,2018
Walk Away,Alle Farben,61,pop,2019
I Need You,Armin van Buuren,24,pop,2017
Something Just Like This - Alesso Remix,The Chainsmokers,56,pop,2017
Fine Day,Keanu Silva,2,pop,2018
BOOM,Tiesto,70,pop,2018
Whispers,ELYAZ,9,pop,2016
Secrets - Radio Edit,Tiesto,65,pop,2015
Forever,Martin Garrix,62,pop,2017
Carry Me Home (feat. Jake Reese),KSHMR,64,pop,2018
A Sky Full of Stars,Coldplay,78,pop,2014
Don't Let Me Down - Illenium Remix,The Chainsmokers,64,pop,2016
Selfish,Dimitri Vegas & Like Mike,69,pop,2019
The Days,Avicii,67,pop,2014
My Way,Calvin Harris,77,pop,2016
I Love You,Axwell /\ Ingrosso,7,pop,2017
